87,88,87,88,87,88,87,88,87,88,87,88,87,87,88,88,87,88,87,88,87,88,87,88,87,88,87,88,87,88
104,105,104,105,104,105,104,0,1,2,3,4,88,104,105,105,104,105,104,105,104,105,104,105,104,105,104,105,104,105
87,88,87,88,87,88,87,17,18,19,20,21,88,88,87,88,0,3,1,2,2,1,3,4,105,88,105,105,87,88
104,105,0,2,2,2,4,34,35,36,37,38,0,1,2,1,103,36,36,36,36,36,36,102,4,105,105,105,104,105
87,88,34,35,36,36,38,51,52,53,54,55,17,36,36,36,36,36,36,36,36,36,36,36,102,3,4,105,87,88
104,105,34,35,36,10,38,68,69,70,71,72,17,36,36,36,36,36,53,54,36,36,36,36,36,36,102,4,104,105
87,0,103,35,36,5,102,2,3,4,88,88,17,36,36,36,36,36,36,36,36,36,36,36,36,36,36,21,87,88
104,34,35,36,36,42,6,6,25,21,0,1,103,36,36,36,36,36,36,56,57,58,36,36,8,6,25,38,104,105
87,34,35,36,36,5,36,85,71,72,17,18,36,36,36,36,36,36,36,73,74,75,36,36,5,36,36,55,87,88
104,34,35,36,36,5,37,38,105,0,103,8,6,6,6,6,24,36,36,36,5,43,36,36,5,36,36,21,104,105
87,34,35,36,36,5,36,102,1,103,18,5,36,36,36,36,5,44,36,36,5,36,36,36,5,36,36,38,87,88
104,34,35,36,36,23,6,6,6,6,6,7,85,70,86,36,5,36,36,36,5,36,36,36,5,36,36,55,104,105
87,68,69,86,36,43,44,36,36,36,36,85,72,88,17,26,40,6,6,6,40,6,6,6,7,36,85,72,87,88
104,105,104,68,86,36,36,36,36,36,36,38,88,88,34,36,36,36,36,36,36,36,36,36,36,36,38,105,104,105
87,88,87,88,34,36,36,36,36,36,36,55,88,88,68,69,69,69,86,36,36,36,36,36,36,36,38,88,87,88
104,105,104,105,68,70,86,36,36,36,36,102,1,2,3,1,2,3,103,36,36,36,36,36,36,85,72,105,104,105
87,88,87,88,87,88,34,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,85,70,72,87,88,87,88
104,105,104,105,104,105,68,69,70,70,70,86,36,36,36,85,70,70,70,70,69,70,71,72,104,105,104,105,104,105
87,88,87,88,87,88,87,88,87,88,87,68,70,70,70,72,88,88,87,88,87,88,87,88,87,88,87,88,87,88
104,105,104,105,104,105,104,105,104,105,104,105,104,105,104,105,104,105,104,105,104,105,104,105,104,105,104,105,104,105
